	895
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	11
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION	11
FOUNDATION	11
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE	11
GOVERNMENT PRINTING OFFICE	11
DISTRIBUTED BY NATIONAL TECHNICAL INFORMATION SERVICE	11
UNITED STATES DEPARTMENT OF COMMERCE ECONOMIC DEVELOPMENT ADMINISTRATION	11
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS	11
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	11
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE	11
FEDERAL JUDICIAL CENTER	11
COMMITTEE	11
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE NATIONAL INSTITUTE OF EDUCATION	10
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH	10
UNITED STATES DEPARTMENT OF JUSTICE NATIONAL INSTITUTE OF JUSTICE	10
NATIONAL CENTER FOR EDUCATION STATISTICS	10
UNITED STATES DEPARTMENT OF EDUCATION	10
NATIONAL TECHNICAL INFORMATION SERVICE DISTRIBUTOR	10
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE	10
NATIONAL ARCHIVES AND RECORDS SERVICE GENERAL SERVICES ADMINISTRATION	10
AVAILABLE FROM NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE	10
AVAILABLE FROM NATIONAL TECHNICAL INFORMATION SERVICE	10
COMMISSION ON CIVIL RIGHTS	10
UNITED STATES CIVIL SERVICE COMMISSION LIBRARY	10
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION	10
PUBLISHED FOR NATIONAL COLLECTION OF FINE ARTS BY SMITHSONIAN INSTITUTION PRESS	10
NATIONAL CENTER FOR RESEARCH IN VOCATIONAL EDUCATION OHIO STATE UNIVERSITY	9
DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION	9
NATIONAL INSTITUTE OF EDUCATION UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	9
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION BUREAU OF RADIOLOGICAL HEALTH	9
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION	9
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER DIVISION OF NURSING	9
UNITED STATES DEPARTMENT OF INTERIOR	9
CENTER OF MILITARY HISTORY UNITED STATES ARMY	9
DEPARTMENT OF DEFENSE	9
DEPARTMENT OF COMMERCE BUREAU OF CENSUS	9
NATIONAL INSTITUTES OF HEALTH	9
NATIONAL GALLERY OF ART	9
NATIONAL INSTITUTE OF MENTAL HEALTH	9
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION	8
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION OFFICE OF POLICY OFFICE OF RESEARCH AND STATISTICS	8
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	8
DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE	8
DEPARTMENT OF AGRICULTURE	8
HISTORY AND MUSEUMS DIVISION HEADQUARTERS UNITED STATES MARINE CORPS	8
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESEARCH	8
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TECHNICAL INFORMATION SERVICE	8
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE	8
NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	8
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL CRIMINAL JUSTICE INFORMATION AND STATISTICS SERVICE	7
DEPARTMENT OF AGRICULTURE FOOD AND NUTRITION SERVICE	7
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION OFFICE OF EDUCATION	7
OFFICE OF PERSONNEL MANAGEMENT LIBRARY	7
DEPARTMENT OF AGRICULTURE ECONOMICS STATISTICS AND COOPERATIVES SERVICE	7
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION	7
UNITED STATES DEPARTMENT OF AGRICULTURE SOIL CONSERVATION SERVICE	7
UNITED STATES DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY	7
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	7
DEPARTMENT OF TRANSPORTATION	7
BOARD	7
HOMEMAKERS COMMITTEE NATIONAL COMMISSION ON OBSERVANCE OF INTERNATIONAL WOMEN YEAR	7
FEDERAL TRADE COMMISSION	7
NATIONAL PARK SERVICE	7
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESOURCE DEVELOPMENT MANPOWER AND TRAINING BRANCH	6
PUBLISHED FOR NATIONAL MUSEUM OF AMERICAN ART BY SMITHSONIAN INSTITUTION PRESS	6
UNITED STATES FEDERAL ENERGY ADMINISTRATION STRATEGIC PETROLEUM RESERVE OFFICE	6
NATIONAL CENTER FOR PRODUCTIVITY AND QUALITY OF WORKING LIFE	6
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION	6
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION	6
DEPARTMENT OF HEALTH EDUCATION AND WELFARE NATIONAL INSTITUTE OF EDUCATION	6
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION SYSTEMS RESEARCH AND DEVELOPMENT SERVICE	6
DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC NORTHWEST FOREST AND RANGE EXPERIMENT STATION	6
FOREIGN SERVICE INSTITUTE DEPARTMENT OF STATE	6
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	6
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER	6
UNITED STATES DEPARTMENT OF COMMERCE INDUSTRY AND TRADE ADMINISTRATION	6
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL WEATHER SERVICE	6
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	6
FEDERAL HIGHWAY ADMINISTRATION	6
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION NATIONAL CENTER FOR EDUCATION STATISTICS	6
LABORATORY	6
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF FEDERAL STATISTICAL POLICY AND STANDARDS	6
NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	6
NATIONAL INSTITUTE ON DRUG ABUSE	6
UNITED STATES ARMY CENTER OF MILITARY HISTORY	6
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	6
UNITED STATES DEPARTMENT OF COMMERCE SOCIAL AND ECONOMIC STATISTICS ADMINISTRATION BUREAU OF CENSUS	6
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION	6
OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET DEPUTY ASSISTANT SECRETARY FINANCE	5
NATIONAL DEFENSE UNIVERSITY	5
CIVIL SERVICE COMMISSION LIBRARY	5
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	5
AVAILABLE FROM DSC	5
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES HEAD START BUREAU	5
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION NATIONAL INSTITUTE OF EDUCATION	5
NATIONAL COMMISSION FOR MANPOWER POLICY	5
OFFICE OF EDUCATION UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	5
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMICS STATISTICS AND COOPERATIVES SERVICE	5
PUBLISHED FOR NATIONAL PORTRAIT GALLERY BY SMITHSONIAN INSTITUTION PRESS	5
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	5
FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	5
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF RECLAMATION	5
NTIS	5
NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE	5
UNITED STATES GEOLOGICAL SURVEY	5
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION SCIENTIFIC AND TECHNICAL INFORMATION BRANCH	5
SCIENTIFIC AND TECHNICAL INFORMATION BRANCH NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	5
UNITED STATES DEPARTMENT OF INTERIOR HERITAGE CONSERVATION AND RECREATION SERVICE	5
GENERAL ACCOUNTING OFFICE	5
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION	5
DEPARTMENT OF TREASURY	5
UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	5
TASK FORCE	5
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL RESEARCH LABORATORIES	5
UNITED STATES DEPARTMENT OF JUSTICE	5
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION	5
UNITED STATES DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION	5
UNITED STATES DEPARTMENT OF COMMERCE SOCIAL AND ECONOMIC STATISTICS ADMINISTRATION BUREAU OF ECONOMIC ANALYSIS	5
COMMISSION ON POPULATION GROWTH AND AMERICAN FUTURE	5
DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS	5
HISTORICAL DIVISION HEADQUARTERS UNITED STATES MARINE CORPS	4
HISTORICAL BRANCH G-3 DIVISION HEADQUARTERS UNITED STATES MARINE CORPS	4
AEROSPACE RESEARCH LABORATORIES OFFICE OF AEROSPACE RESEARCH UNITED STATES AIR FORCE	4
GENERAL SERVICES ADMINISTRATION	4
BUREAU OF LAND MANAGEMENT	4
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESEARCH	4
NATIONAL HEART LUNG AND BLOOD INSTITUTE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH	4
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE	4
UNITED STATES DEPARTMENT OF INTERIOR HERITAGE CONSERVATION AND RECREATION SERVICE TECHNICAL PRESERVATION SERVICES DIVISION	4
REGION	4
UNITED STATES DEPARTMENT OF STATE	4
NATIONAL DEFENSE UNIVERSITY PRESS	4
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PROFESSIONS DIVISION OF NURSING	4
UNITED STATES DEPARTMENT OF COMMERCE MARITIME ADMINISTRATION	4
DEPARTMENT OF HEALTH EDUCATION AND WELFARE HEALTH CARE FINANCING ADMINISTRATION	4
UNITED STATES CONGRESS OFFICE OF TECHNOLOGY ASSESSMENT	4
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA AND INFORMATION SERVICE	4
CONGRESS OF UNITED STATES CONGRESSIONAL BUDGET OFFICE	4
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM	4
ADMINISTRATION ON AGING OFFICE OF HUMAN DEVELOPMENT SERVICES UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	4
DOCUMENT EXPEDITING DOCEX PROJECT EXCHANGE AND GIFT DIVISION LIBRARY OF CONGRESS DISTRIBUTOR	4
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT NATIONAL INSTITUTE OF EDUCATION	4
UNITED STATES DEPARTMENT OF INTERIOR WATER AND POWER RESOURCES SERVICE	4
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER DIVISION OF NURSING	4
DEPARTMENT OF LABOR MINE SAFETY AND HEALTH ADMINISTRATION	4
DEPARTMENT OF AGRICULTURE AGRICULTURAL RESEARCH SERVICE	4
NATIONAL ACADEMY OF SCIENCES	4
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE OFFICE OF CANCER COMMUNICATIONS	4
TECHNICAL INFORMATION CENTER ENERGY RESEARCH AND DEVELOPMENT ADMINISTRATION	4
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT CORVALLIS ENVIRONMENTAL RESEARCH LABORATORY	4
DEFENSE MAPPING AGENCY HYDROGRAPHIC/TOPOGRAPHIC CENTER	4
NATIONAL ACADEMY PRESS	4
OFFICE OF NAVAL RESEARCH DEPARTMENT OF NAVY	4
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF MINES	4
EXECUTIVE OFFICE OF PRESIDENT OFFICE OF MANAGEMENT AND BUDGET	4
S N	4
UNITED STATES DEPARTMENT OF ENERGY ENERGY INFORMATION ADMINISTRATION	4
UNITED STATES DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION BUREAU OF DOMESTIC COMMERCE	4
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE	4
FEDERAL RESERVE BANK OF BOSTON	4
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL OCEAN SURVEY	4
UNITED STATES POSTAL SERVICE	4
CENTRAL INTELLIGENCE AGENCY NATIONAL FOREIGN ASSESSMENT CENTER	4
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT OFFICE OF CHILD DEVELOPMENT	4
DEPARTMENT OF AIR FORCE	4
COUNCIL ON ENVIRONMENTAL QUALITY	4
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER DIVISION OF ASSOCIATED HEALTH PROFESSIONS	4
FEDERAL POWER COMMISSION	4
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH RESOURCES DEVELOPMENT DIVISION OF NURSING	4
UNITED STATES DEPARTMENT OF AGRICULTURE FOREIGN AGRICULTURAL SERVICE	4
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF OUTDOOR RECREATION	4
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE	4
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE FOREST PRODUCTS LABORATORY	4
UNITED STATES DEPARTMENT OF LABOR MANPOWER ADMINISTRATION	4
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL RAILROAD ADMINISTRATION OFFICE OF SAFETY	4
UNITED STATES DEPARTMENT OF AGRICULTURE STATISTICAL REPORTING SERVICE CROP REPORTING BOARD	3
UNITED STATES DEPARTMENT OF COMMERCE PATENT AND TRADEMARK OFFICE	3
NATIONAL LIBRARY OF MEDICINE	3
NETWORK DEVELOPMENT AND MARC STANDARDS OFFICE LIBRARY OF CONGRESS	3
LIBRARY OF CONGRESS NATIONAL LIBRARY SERVICE FOR BLIND AND PHYSICALLY HANDICAPPED	3
NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESOURCE DEVELOPMENT MANPOWER AND TRAINING BRANCH	3
GENERAL SERVICES ADMINISTRATION NATIONAL ARCHIVES AND RECORDS SERVICE OFFICE OF FEDERAL RECORDS CENTERS	3
UNITED STATES NAVAL INSTITUTE	3
NATIONAL ADVISORY COUNCIL ON EDUCATION OF DISADVANTAGED CHILDREN	3
NATIONAL COMMISSION ON OBSERVANCE OF INTERNATIONAL WOMEN YEAR HOMEMAKERS COMMITTEE	3
UNITED STATES DEPARTMENT OF LABOR BUREAU OF INTERNATIONAL LABOR AFFAIRS OFFICE OF FOREIGN ECONOMIC RESEARCH	3
AMERICAN FOLKLIFE CENTER LIBRARY OF CONGRESS	3
DEFENSE INTELLIGENCE AGENCY	3
ARGONNE NATIONAL LABORATORY	3
PUBLIC AFFAIRS PRESS	3
GENERAL SERVICES ADMINISTRATION NATIONAL ARCHIVES AND RECORDS SERVICE NATIONAL AUDIOVISUAL CENTER	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF FAMILY ASSISTANCE	3
DEPARTMENT OF STATE FOREIGN SERVICE INSTITUTE	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER DIVISION OF DENTISTRY	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH ROBERT A TAFT LABORATORIES	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL AND REHABILITATION SERVICE OFFICE OF MANAGEMENT	3
UNITED STATES SECURITIES AND EXCHANGE COMMISSION	3
NATIONAL ADVISORY COMMITTEE ON CRIMINAL JUSTICE STANDARDS AND GOALS	3
UNITED STATES DEPARTMENT OF INTERIOR MINING ENFORCEMENT AND SAFETY ADMINISTRATION	3
UNITED STATES CONSUMER PRODUCT SAFETY COMMISSION	3
FEDERAL TRADE COMMISSION BUREAU OF ECONOMICS	3
OFFICE OF AIR FORCE HISTORY UNITED STATES AIR FORCE	3
DEPARTMENT OF LABOR WOMEN BUREAU	3
UNITED STATES ARMY ENGINEER DISTRICT DETROIT CORPS OF ENGINEERS	3
DEPARTMENT OF DEFENSE DEPARTMENT OF AIR FORCE	3
UNITED STATES DEPARTMENT OF LABOR WOMEN BUREAU	3
UNITED STATES DEPARTMENT OF AGRICULTURE FOOD AND NUTRITION SERVICE	3
DEPARTMENT OF INTERIOR BUREAU OF LAND MANAGEMENT	3
EUROPEAN DIVISION LIBRARY OF CONGRESS	3
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM	3
DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION OFFICE OF FAMILY ASSISTANCE	3
NATIONAL CLEARINGHOUSE COMMITTEE ON ON ELECTION ADMINISTRATION FEDERAL ELECTION COMMISSION	3
PUBLISHED FOR NATIONAL AIR AND SPACE MUSEUM BY SMITHSONIAN INSTITUTION PRESS	3
OFFICE OF CHIEF OF NAVAL OPERATIONS DEPARTMENT OF NAVY	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES HEAD START BUREAU	3
PROJECT	3
INTERSTATE COMMERCE COMMISSION RAIL SERVICES PLANNING OFFICE	3
DEPARTMENT OF JUSTICE	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU NATIONAL CENTER ON CHILD ABUSE AND NEGLECT	3
CONGRESSIONAL BUDGET OFFICE UNITED STATES CONGRESS	3
FEDERAL COMMUNICATIONS COMMISSION	3
PUBLISHED FOR HIRSHHORN MUSEUM AND SCULPTURE GARDEN BY SMITHSONIAN INSTITUTION PRESS	3
COLORADO STATE OFFICE BUREAU OF LAND MANAGEMENT	3
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTH CENTRAL FOREST EXPERIMENT STATION	3
BRANCH	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM	3
